"CodeStateID","Code"
64,"def nearestBusStop(street):
	if (street%8 == 0):
	    return street
	elif (street%8 > 4):
	    return street + 8 - street%8
	else:
	    return street - street%8"
65,"def overNineThousand(powerLevel):
	return (powerLevel >9000)"
66,"def hasTwoDigits(x):
    total = 1
    while (x//10 > 0):
        total += 1
        x = x//10
    return (total == 2)"
67,"print ('Hello World!'
"
68,"print ('Hello World!')
"
69,"def helloWorld
    print ('Hello World!')
    
helloWorld
"
70,"def raiseToPower (x, y):
    return x**y"
71,"def helloWorld:
    print ('Hello World!')
    
"
72,"def helloWorld():
    print ('Hello World!')
  
"
73,"def helloWorld():
    print ('Hello World!')

helloWorld"
74,"def helloWorld():
    print ('Hello World!')

helloWorld()"
75,"def helloWorld():
    print ('Hello World!')

"
76,"def helloWorld():
    return ('Hello World!')

"
77,"def doubleX(x):
    return (x *2)"
78,"def raiseToPower(x,y):
    return (x **y)
"
79,"import math

convertToDegrees(x):
    return ((x/ math.pi) * 180)"
80,"import math

def convertToDegrees(x):
    return ((x/ math.pi) * 180)"
81,"def findRoot(a,b,c):
    
    additionTotal = ( -b + (((b **2) - 4 *a *c) **(0.5)))/( 2 *a)
    
    subtractTotal = ( -b - (((b **2) - 4 *a *c) **(0.5)))/( 2 *a)
    
    if (additionTotal >= subtractTotal):
        return additionTotal
"
82,"def intToFloat(x):
	return (x / 1.0)"
83,"def helloWorld:
    print('helloWorld')"
84,"def helloWorld():
    print('helloWorld')"
85,"def leftoverCandy(candyBars, friends):
	return (candyBars % friends)"
86,"def helloWorld():
    print('helloWorld')
print(helloWorld())"
87,"def helloWorld():
    print('Hello World!')
"
88,"def helloWorld:
    print('Hello World!')
"
89,"def howManyEggCartons(eggs):
	if (eggs % 12 == 0):
	    return (eggs/12)
    else:
        return ((eggs/12) +1)"
90,"def howManyEggCartons(eggs):
	if (eggs == 0):
		return 0
	if (eggs % 12 == 0):
	    return (eggs/12)
	else:
		return ((eggs/12) +1)"
91,"def howManyEggCartons(eggs):
	if (eggs == 0):
		return 0
	if (eggs % 12 == 0):
	    return (eggs//12)
	else:
		return ((eggs//12) +1)"
92,"def helloWorld:
    print ('Hello World!')
    
helloWorld"
93,"def helloWorld():
    print('Hello World!')

helloWorld()"
94,"def helloWorld():
    return ('Hello World!')

helloWorld()"
95,"import module.math

def convertToDegree(x):
  deg(x)"
96,"import module.math

def convertToDegree(x):
  return deg(x)"
97,"def helloWorld:
    return 'Hello World!'
"
98,"def helloWorld():
    return 'Hello World!'
"
99,"import math
def convertToDegrees(x):
    return degrees(x)"
100,"import math
def convertToDegrees(x):
    return math.degrees(x)"
101,"def findRoot(a,b,c):
    x1 = (-b + (b**2 - (4*a*c))**.5)/(2*a)
    x2 = (-b - (b**2 - (4*a*c))**.5)/(2*a)
    return max(x1,x2)"
102,"def howManyEggCartons(eggs):
    excess = eggs % 12
    if(excess != 0):
        return eggs//12 + 1
	return eggs // 12"
103,"def howManyEggCartons(eggs):
    if(eggs == 0):
        return 0
    excess = eggs % 12
    if(excess != 0):
        return eggs//12 + 1
	return eggs // 12"
104,"def howManyEggCartons(eggs):
    if(eggs == 0):
        return 0
    excess = eggs % 12
    if(excess != 0):
        return eggs//12 + 1
	return eggs / 12"
105,"def howManyEggCartons(eggs):
    if(eggs == 0):
        return 0
    excess = eggs % 12
    if(excess != 0):
        return eggs//12 + 1
    print('HERE')
	return eggs // 12"
106,"def howManyEggCartons(eggs):
    if(eggs == 0):
        return 0
    excess = eggs % 12
    if(excess != 0):
        return eggs//12 + 1
    print(HERE)
	return eggs // 12"
107,"def howManyEggCartons(eggs):
    if(eggs == 0):
        return 0
    excess = eggs % 12
    if(excess != 0):
        return eggs//12 + 1
    if(excess == 0):
	    return eggs // 12"
108,"def kthDigit(x, k):
    digit = x % 10**k
	return digit"
109,"def kthDigit(x, k):
    digit = int(x % 10**k)
	return digit"
110,"def kthDigit(x, k):
    digit = x % 10**k
	return x % 10**k"
111,"def kthDigit(x, k):
	return x % 10**k"
112,"def kthDigit(x, k):
	return (x % 10**k) - 10**(k-1)"
113,"def kthDigit(x, k):
	return (x % 10**k) - x % 10**(k-1)"
114,"def kthDigit(x, k):
	return (x % 10**k) - x // 10**k"
115,"def kthDigit(x, k):
	return (x % 10**k) - x // 10**(k-1)"
116,"def kthDigit(x, k):
	return (x % 10**k)"
117,"def kthDigit(x, k):
	return (x % 10**k) - x % 10**(k+1)"
118,"def kthDigit(x, k):
	return (x % 10**k) - x % 10**(k-1)//10"
119,"def kthDigit(x, k):
	return (x % 10**k) - x % 10**(k-1)//10**k"
120,"def kthDigit(x, k):
	return (x % 10**k) - x % 10**(k-1)//10**(k-1)"
121,"def kthDigit(x, k):
	return (x % 10**k) - x % 10**(k-1)//10*k"
122,"def kthDigit(x, k):
	return (x % 10**k) - (x % 10**(k-1))"
123,"def kthDigit(x, k):
	return (x % 10**(k+1))"
124,"def kthDigit(x, k):
	return (x % 10**(k-1))"
125,"def kthDigit(x, k):
	return (x % 10**-k)"
126,"def kthDigit(x, k):
	return (x // 10**k)"
127,"def kthDigit(x, k):
	return (x // 10**k+1)"
128,"def kthDigit(x, k):
	return (k % 10**k)"
129,"def kthDigit(x, k):
	return (k % 10**x)"
130,"def kthDigit(x, k):
	return x% (10**k)"
131,"def kthDigit(x, k):
	return x % (10**(k+1))"
132,"def kthDigit(x, k):
	return x - x % (10**k)"
133,"def kthDigit(x, k):
	return x + x % (10**k)"
134,"def kthDigit(x, k):
	return x % (10**k)"
135,"def kthDigit(x, k):
	return x - (x % (10**k)) + (x%(10**k))"
136,"def kthDigit(x, k):
	return x - (x % (10**(k+1))) + (x%(10**k))"
137,"def kthDigit(x, k):
	return x - (x % (10**(k-1))) + (x%(10**k))"
138,"def kthDigit(x, k):
	return x//x % (10**k)"
139,"def kthDigit(x, k):
	return x % (10**k) % 10**k"
140,"def kthDigit(x, k):
	return x % (10**k) // 10**k"
141,"def kthDigit(x, k):
	return x - (x % (10**k))*10**k"
142,"def kthDigit(x, k):
	return x - (x % (10**k))**k"
143,"def kthDigit(x, k):
	return x - (x % (10**k))"
144,"def kthDigit(x, k):
	return (x % (10**k))*10**k"
145,"def kthDigit(x, k):
	return (x % (10**k))//10**k"
146,"def kthDigit(x, k):
	return (x % (10**k))"
147,"def kthDigit(x, k):
	return (x % (10**(k-1)))"
148,"import math

def convertToDegrees(x):
    return math.degrees(x)"
149,"def kthDigit(x, k):
	return x % (10**k) - x % (10**(k-1))"
150,"def kthDigit(x, k):
	return (x % (10**k)) % (10**(k-1))"
151,"def findRoot(a,b,c):
    x = max(-b+(b**2-4*a*c)**0.5)/(2*a)
    return x"
152,"def findRoot(a,b,c):
    x = max(-b+(b**2-4*a*c)**0.5)/(2*a), -b-(b**2-4*a*c)**0.5)/(2*a))
    return x"
153,"def kthDigit(x, k):
	return (x % (10**k)) - (x % (10**(k-1)))"
154,"def kthDigit(x, k):
	return (x % (10**k)) - ((x % (10**(k-1))))//10**(k-1)"
155,"def kthDigit(x, k):
	return (x % (10**k)) - ((x % (10**(k-1))))**10**(k-1)"
156,"def kthDigit(x, k):
	return (x % (10**k)) - ((x % (10**(k-1))))**10"
157,"def kthDigit(x, k):
	return ((x % (10**k)) - ((x % (10**(k-1)))))"
158,"def kthDigit(x, k):
	return ((x % (10**k)) - ((x % (10**(k-1))))) % 10**k"
159,"def findRoot(a,b,c):
    x = max((-b+(b**2-4*a*c)**0.5)/(2*a), (-b-(b**2-4*a*c)**0.5)/(2*a))
    return x"
160,"def kthDigit(x, k):
	return ( (x % (10**k) - (x % (10**(k-1)) ) % 10**k"
161,"def kthDigit(x, k):
	return ( (x % (10**k) - (x % (10**(k-1)) )"
162,"def kthDigit(x, k):
	return (x % (10**k) - (x % (10**(k-1)))"
163,"def kthDigit(x, k):
	return (x % (10**k) - (x % (10**(k-1))"
164,"def findRoot(a,b,c):
    x1 = (-b + (b**2 - 4*a*c)**.5)/(2*a)
    x2 = (-b - (b**2 - 4*a*c)**.5)/(2*a)
    return max(x1,x2)"
165,"def intToFloat(x):
	return x*1.0"
166,"def kthDigit(x, k):
	return x % 10**(k+1) - x % 10**(k-1)"
167,"def kthDigit(x, k):
	return x % 10**(k+1) - x % 10**(k)"
168,"def kthDigit(x, k):
	return x % 10**(k-1) - x % 10**(k)"
169,"def howManyEggCartons(eggs):
	return eggs // 12 + 1"
170,"def kthDigit(x, k):
	return x % 10**(k-1) + x % 10**(k)"
171,"def kthDigit(x, k):
	return x % 10**(k-1)% 10**(k)"
172,"def kthDigit(x, k):
	return x % 10**(k-1)"
173,"def howManyEggCartons(eggs):
    if eggs == 0:
        return 0
	return eggs // 12 + 1"
174,"def howManyEggCartons(eggs):
	return math.ceil(eggs/12)"
175,"def kthDigit(x, k):
	return x % 10**(k+1)"
176,"def howManyEggCartons(eggs):
    if eggs == 0:
        return 0
	else:
	    return eggs // 12 + 1"
177,"def kthDigit(x, k):
	return (x // 10**(k-1)) % 10"
178,"def howManyEggCartons(eggs):
    if eggs == 0: return 0
	else: return (eggs // 12) + 1"
179,"def howManyEggCartons(eggs):
    if eggs == 0: 
        return 0
	if eggs > 0: 
	    return (eggs // 12) + 1"
180,"def howManyEggCartons(eggs):
    if eggs == 0: 
        return 0
    return (eggs // 12) + 1"
181,"def howManyEggCartons(eggs):
    if eggs == 0: 
        return 0
    if eggs % 12 == 0:
        return eggs // 12
    return (eggs // 12) + 1"
182,"def kthDigit(x, k):
	return (x // 10 ** k) % 10"
183,"def kthDigit(x, k):
	return (x // 10 ** (k - 1)) % 10"
184,"import math
def nearestBusStop(street):
    rem = street%8
    if(rem<=4):
        busstop = (street//8)*8
        return busstop
    else:
        busstop = (street//8)*8
        return busstop"
185,"import math
def nearestBusStop(street):
    rem = street%8
    if(rem<=4):
        busstop = (street//8)*8
        return busstop
    else:
        busstop = (street//8)*8 + 8
        return busstop"
186,"def helloWorld():
    return ('Hello World!')"
187,"def overNineThousand(powerLevel):
	return powerLevel > 9000"
188,"def hasTwoDigits(x):
	return x >= 10 and x < 100"
189,"def nearestBusStop(street):
    adder = street % 8
    multiplier = street // 8
    if adder <= 3:
        return (multiplier * 8)
    return (multiplier + 1) * 8"
190,"def canDrinkAlcohol(age, isDriving):
    if(age < 21 or isDriving):
        return False
    return True"
191,"def nearestBusStop(street):
    adder = street % 8
    multiplier = street // 8
    if adder <= 4:
        return (multiplier * 8)
    return (multiplier + 1) * 8"
192,"def isEvenPositiveInt(x):
    if(x == type(int) and x>0 and x%2==0):
        return True
	return False"
193,"def isEvenPositiveInt(x):
    if(x == type(int) and x>0 and x%2==0):
        return True
	else: 
	   return False"
194,"def isEvenPositiveInt(x):
    if(x == type(int) and x>0 and x%2==0):
        return True
	else:
	    return False"
195,"def isEvenPositiveInt(x):
    if(x == type(int) and x>0 and x%2==0):
        return True
return false"
196,"def isEvenPositiveInt(x):
    if(x == type(int) and x>0 and x%2==0):
        return True
    return false"
197,"def isEvenPositiveInt(x):
    if(x == type(int) and x>0 and x%2==0):
        return True
    return False"
198,"def isEvenPositiveInt(x):
    if(x>0 and x%2==0):
        return True
    return False"
199,"def isEvenPositiveInt(x):
    if(x == int, x>0 and x%2==0):
        return True
    return False"
200,"def isEvenPositiveInt(x):
    if(x == type.int, x>0 and x%2==0):
        return True
    return False"
201,"def isEvenPositiveInt(x):
    if(type(x) == int, x>0 and x%2==0):
        return True
    return False"
202,"def isEvenPositiveInt(x):
    if(type(x) = int, x>0 and x%2==0):
        return True
    return False"
203,"def isEvenPositiveInt(x):
    if(type(x) is int, x>0 and x%2==0):
        return True
    return False"
204,"def isEvenPositiveInt(x):
    if(type(x) is int and x>0 and x%2==0):
        return True
    return False"
205,"def carefulSquareRoot(x):
    if(x<0):
        return 'Error'
    else:
        return x**.5"
206,"def castString(s, asNumber):
    if(asNumber):
        return bool(s)
    else:
        return s"
207,"def castString(s, asNumber):
    if(asNumber):
        return int(s)
    else:
        return s"
208,"import math
def findRoot(a, b, c):
    return ((-b) + math.sqrt((b**2) - (4 * a * c))) / (2* a)\"
209,"def stockChange(percentChange):
    if(percentChange > 0):
        return 'Up'
    elif(percentChange < 0):
        return 'Down'
    else:
        return 'No Change'"
210,"def oneToN(n):
    for n in range (1,n+1)
        n += str(n)
    return"
211,"def oneToN(n):
    for n in range (1,n+1):
        n += str(n)
    return"
212,"def oneToN(n):
    for n in range (1,n+1):
        n += str(n)
    return n"
213,"def oneToN(n):
    x = 0
    for n in range (1, n+1):
        str(n) += str(x)
    return x"
214,"def oneToN(n):
    x = 0
    for n in range (1, n+1):
        str(n += x)
    return x"
215,"def oneToN(n):
    str(x) = 0
    for n in range (1, n+1):
        n += x
    return x"
216,"def oneToN(n):
    for n in range (1, n+1):

    return n"
217,"def oneToN(n):
    for n in range (1, n+1):
        return n"
218,"def oneToN(n):
    v1 = ''
    for n in range (1, n+1):
        v1 += n
    return v1"
219,"def oneToN(n):
    v1 = ''
    for n in range (1, n+1):
        n = str(n)
        v1 += n
    return v1"
220,"def isPrime(n):
    if(n>2):
        for factor in range (2,n):
            if(n % factor == 0):
                return False
        return True
    return False"
221,"def isPrime(n):
    if(n>2):
        for factor in range (2,n):
            if(n % factor == 0):
                return False
        return True"
222,"def isPrime(n):
    if(n>=2):
        for factor in range (2,n):
            if(n % factor == 0):
                return False
        return True"
223,"def sumOfDigits(n):
    sum = 0
    while(n % 10 > 0):
        sum += n % 10
    return sum"
224,"def sumOfDigits(n):
    sum = 0
    while(n > 0):
        sum += n % 10
    return sum"
225,"def sumOfDigits(n):
    sum = 0
    while(n > 0):
        sum += n
        n = n % 10
    return sum"
226,"def sumOfDigits(n):
    sum = 0
    while(n > 0):
        n = n % 10
        sum += n
    return sum"
227,"def nearestBusStop(street):
	return (street - street//8)"
228,"def sumOfDigits(n):
    sum = 0
    while(n > 0):
        sum += n % 10
        n = n % 10
    return sum"
229,"def sumOfDigits(n):
    sum = 0
    while(n > 0):
        sum += n % 10
        n = n // 10
    return sum"
230,"import math

def nearestBusStop(street):
	if street % 8 == 4:
	    return math.floor(street//8)
	else:
	    return math.ceil(street/8)"
231,"def createNumberBlock(n):
    for 
    return"
232,"def doubleX(x):
    return x * 2"
233,"import math

def nearestBusStop(street):
	if street % 8 == 4:
	    return math.floor(street/8)
	else:
	    return math.ceil(street/8)"
234,"def createNumberBlock(n):
    for s in range (1, n+1):
        return s += str(n)"
235,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += str(n)
        return s, end = ''"
236,"def raiseToPower(x, y):
    return x ** y"
237,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += str(n)
        return s, end =''"
238,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += str(n)
    return s"
239,"def oneToN(n):
    string = ''
    for i in range(1, n + 1):
        string = string + str(i)
    return string"
240,"import math

def nearestBusStop(street):
	if street % 8 == 4:
	    return math.floor(street/8)*8
	return math.ceil(street/8)*8"
241,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += str(n)"
242,"def createNumberBlock(n):
    for s in range (1, n+1):
        str(s) += str(n)
    return s"
243,"def createNumberBlock(n):
    for s in range (1, n+1):
        s = str(s)
        n = str(n)
        s += n
    return s"
244,"import math

def nearestBusStop(street):
	if street % 8 == 4:
	    return math.floor(street/8)*8
	return rount(street/8)*8"
245,"import math

def nearestBusStop(street):
	if street % 8 == 4:
	    return math.floor(street/8)*8
	return round(street/8)*8"
246,"import math
def isPrime(n):
    if type(n) != int:
        return False
    for i in range(2, math.ceil(n ** 0.5) + 1):
        if n % i == 0:
            return False
    return True"
247,"def overNineThousand(powerLevel):
	return powerlevel > 9000"
248,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += n
        return /n
        for s in range (1, n+1)
        s = str(s)
        n = str(n)
        return s += n"
249,"import math
def isPrime(n):
    if type(n) != int:
        return False
    for i in range(2, int(math.ceil(n ** 0.5)) + 1):
        if n % i == 0:
            return False
    return True"
250,"import math
def isPrime(n):
    if type(n) != int:
        return False
    if n == 2:
        return True
    for i in range(2, int(math.ceil(n ** 0.5)) + 1):
        if n % i == 0:
            return False
    return True"
251,"def hasTwoDigits(x):
	return (x//10 > 0) and (x//10 < 10)"
252,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += n
        return end = ''
        for s in range (1, n+1)
        s = str(s)
        n = str(n)
        return s += n"
253,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += n
        return end''
        for s in range (1, n+1)
        s = str(s)
        n = str(n)
        return s += n"
254,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += n
        for s in range (1, n+1)
        s = str(s)
        n = str(n)
        return s += n"
255,"def canDrinkAlcohol(age, isDriving):
	return age >= 21 and not isDriving"
256,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += n
        for s in range (1, n+1):
            s = str(s)
            n = str(n)
            return s += n"
257,"def createNumberBlock(n):
    for s in range (1, n+1):
        s += n
        for s in range (1, n+1):
            s = str(s)
            n = str(n)
            return s = n"
258,"def createNumberBlock(n):
    for s in range (1, n+1):
        for s in range (1, n+1):
            s = str(s)
            n = str(n)
            return s = n"
259,"def createNumberBlock(n):
    for s in range (1, n+1):
        s = n
        for s in range (1, n+1):
            s = str(s)
            n = str(n)
            return s = n"
260,"def createNumberBlock(n):
    for s in range (1, n+1):
            s = str(s)
            n = str(n)
            return s = n"
261,"def createNumberBlock(n):
    for s in range (1, n+1):
        s
        for s in range (1, n+1):
            s = str(s)
            n = str(n)
            return s = n"
262,"def sumOfDigits(n):
    digitSum = 0
    digitTracker = n
    while digitTracker > 0:
        digitSum = digitSum + digitTracker % 10
        digitTracker = digitTracker//10
    return digitSum"
263,"def isEvenPositiveInt(x):
	return (type(x)==int) and (x>0) and (x%2==0)"
264,"def carefulSquareRoot(x):
    if x<0:
        return 'Error'
    return x**0.5"
265,"def createNumberBlock(n):
    for s in range (1, n+1):"
266,"def createNumberBlock(n):
    for s in range (1, n+1):
        return n"
267,"def castString(s, asNumber):
    if asNumber:
        return int(s)
    return s"
268,"def createNumberBlock(n):
    for i in range(1, n + 1):
        for j in range(0, n):
            print(i + j, end = '')
        print(\
)\"
269,"def createNumberBlock(n):
    for i in range(1, n + 1):
        for j in range(0, n):
            print(i + j, end = '')
        print()\"
270,"def createNumberBlock(n):
    s = ''
    for s in range (1, n+1):
        return n"
271,"def createNumberBlock(n):
    string = ''
    for i in range(1, n + 1):
        for j in range(0, n):
            string = string + str(i + j)
        string = string + \

    return string"
272,"def createNumberBlock(n):
    string = ''
    for i in range(1, n + 1):
        for j in range(0, n):
            string = string + str(i + j)
    return string"
273,"def stockChange(percentChange):
    if percentChange>0:
        return 'Up'
    elif percentChange<0:
        return 'Down'
    else:
        return 'No Change'"
274,"def oneToN(n):
    for i in range(1,n+1):
        print(i, end = '', sep = '')
    return None"
275,"def createNumberBlock(n):
    string = ''
    string = '[extra stuff]' for i in range(1, n + 1):
        for j in range(0, n):
            string = string + str(i + j)
    return string"
276,"def oneToN(n):
    for i in range(1,n+1):
        print(i, end = '', sep = '')\"
277,"def createNumberBlock(n):
    for row in range (1, n+1):
        for col in range (1, n+1):
            return (n, end='')"
278,"def createNumberBlock(n):
    for row in range (1, n+1):
        for col in range (1, n+1):
            return (n, end=' ')"
279,"def createNumberBlock(n):
    for row in range (1, n+1):
        for col in range (1, n+1):
            return (n, /n)"
280,"def oneToN(n):
    numbers = ''
    for i in range(1,n+1):
        numbers[i] = i
    return numbers\"
281,"def createNumberBlock(n):
    for s in range (1, n+1):
        for col in range (1, n+1):
            return (n, end='')"
282,"def createNumberBlock(n):
    string = ''
    for i in range(1, n + 1):
        for j in range(0, n):
            string = string + str(i + j)
    return string \
"
283,"def createNumberBlock(n):
    string = ''
    for i in range(1, n + 1):
        for j in range(0, n):
            string = string + str(i + j)
        string = string + '\
'
    return string"
284,"def helloWorld(): 
    return ('Hello World!')"
285,"def oneToN(n):
    numbers = ''
    for i in range(1,n+1):
        numbers[i] = append.numbers[i]
    return numbers\"
286,"def canDrinkAlcohol(age, isDriving):
	return (age >= 21 and isDriving == False)"
287,"def stockChange(percentChange):
    if percentChange > 0:
        return 'Up'
    elif percentChange < 0:
        return 'Down'
    return 'No Change'"
288,"def oneToN(n):
    numbers = ''*n
    for i in range(1,n+1):
        numbers[i] = i
    return numbers\"
289,"def oneToN(n):
    numbers = None*n
    for i in range(1,n+1):
        numbers[i] = i
    return numbers\"
290,"def oneToN(n):
    numbers = 'None'*n
    for i in range(1,n+1):
        numbers[i] = i
    return numbers\"
291,"def doubleX(x):
    return (x*2)"
292,"def raiseToPower(x, y):
    return (x**y)"
293,"def oneToN(n):
    numbers = ''
    for i in range(1,n+1):
        numbers = numbers + i
    return numbers\"
294,"def oneToN(n):
    numbers = ''
    for i in range(1,n+1):
        numbers = numbers + str(i)
    return numbers\"
295,"def isPrime(n):
    for i in range(2,n**0.5):
        if n/i==0:
            return False
    return True"
296,"def isPrime(n):
    for i in range(2,n**0.5):
        if int(n/i==0):
            return False
    return True"
297,"def isPrime(n):
    for i in range(2,n**0.5):
        if int(n%i==0):
            return False
    return True"
298,"def isPrime(n):
    for i in range(2,n**0.5):
        if (n%i==0):
            return False
    return True"
299,"def isPrime(n):
    for i in range(2,n**0.5,1):
        if (n%i==0):
            return False
    return True"
300,"def isPrime(n):
    for i in range(2,n):
        if (n%i==0):
            return False
    return True"
301,"def sumOfDigits(n):
    counter = 0
    while n >= 10:
        counter += 1
        n//10
    return counter"
302,"def sumOfDigits(n):
    counter = 0
    while n >= 10:
        counter += 1
        n = n//10
    return counter"
303,"def sumOfDigits(n):
    sum1 = 0
    while n >= 10:
        sum1 += n%10
        n = n//10
    return sum1"
304,"def sumOfDigits(n):
    sum1 = 0
    while n > 0:
        sum1 += n%10
        n = n//10
    return sum1"
305,"def createNumberBlock(n):
    for row in range(n):
        for col in range(1,n+1):
            print(n[row], end = '', sep = '')"
306,"def createNumberBlock(n):
    for row in range(n):
        for col in range(1,n+1):
            print(col, end = '', sep = '')"
307,"import math
convertToDegrees(x):
    return math.deg(x)"
308,"import math

convertToDegrees(x):
    return math.deg(x)"
309,"def createNumberBlock(n):
    for row in range(n):
        for col in range(1,n+1):
            print(col, end = '', sep = ' ')
        print()"
310,"import math

def convertToDegrees(x):
    return math.deg(x)"
311,"import math

def convertToDegrees(x):
    return math.degree(x)"
312,"def createNumberBlock(n):
    string1 = ''
    for row in range(n):
        for col in range(1,n+1):
            string1 += str(col)
    return string1"
